"atom","sigma(A)","epsilon(K)"
## Xe,Kr from Rutkai et al. DOI: 10.1080/00268976.2016.1246760
"Xe",3.949,226.14
"Kr",162.58,3.6274
"C",3.47299,47.86109713
"H",2.84642,7.649723201
"O",3.03315,48.16305989
"N",3.26256,38.95319577
"F",3.09320,36.48716658
"Cl",3.51932,142.5767489
"Br",3.51905,186.2103674
## taken from UFF b/c Ni not available in Dreiding
"Ni",2.5248069672097215,7.5482955042955835
## with exception of Ni, Xe, Kr, all
##   other params from Mayo et al. 
##   DOI: 10.1021/j100389a010 (Dreiding)
