MinStep,CellMinStep,AtomMinStep,FinalStep,Energy,EDiff
1,232,232,232,1682.5980666314492282,48317.4019333686
2,8237,8237,8237,1648.2410550204504034,34.357011611
3,14837,14837,14837,1644.2869730951570091,3.95408192528998
4,17941,17941,17941,1643.9162184436170264,0.370754651539983
5,20246,20246,20246,1643.6160006342688575,0.300217809349988
6,22125,22125,22125,1643.3026948153683406,0.313305818900062
7,24333,24333,24333,1642.922538501847157,0.380156313519819
8,26518,26518,26518,1642.6317387115816473,0.290799790270057
9,28613,28613,28613,1642.4432426475666489,0.188496064009996
10,30432,30432,30432,1642.1877086584181598,0.255533989150081
11,32723,32723,32723,1642.0956383920924964,0.0920702663299835
12,34354,34354,34354,1642.0956383919688051,1.20053300634027e-10
